duration,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7

1.0,-0.17,10.0,-45.0,-19.12,-45.0,-2.29,0.11
1.0,-0.17,10.0,-45.0,-19.12,-45.0,-2.29,0.11

1.0,10.0,20.0,-45.0,-45,-45.0,-5.0,-10.0
2.0,10.0,20.0,-45.0,-45,-45.0,-5.0,-10.0

1.1,2.57,14.86,-35.55,-113.0,-20.05,3.02,-21.6
3.4,2.57,14.86,-35.55,-113.0,-20.05,0.02,-13.6

0.3,2.57,14.86,-35.55,-113.7416,-24.0148,0.4509,0.7547
0.5,7.1054,21.6375,-31.2691,-127.7416,-29.4148,0.4509,22.7547
0.2,6.8067,21.5979,-31.3975,-130.5562,-15.9253,-2.8827,0.2067
0.2,7.1054,21.6375,-31.2691,-127.7416,-29.4148,0.4509,22.7547
0.2,6.8067,21.5979,-31.3975,-130.5562,-15.9253,-2.8827,0.2067
0.4,7.1054,21.6375,-31.2691,-127.7416,-29.4148,0.4509,22.7547

1.0,15.0,40.0,-60.6,-110.0,-60.6,-3.0,-5.0
1.0,-19.08916310381961,41.16753598323671,-84.1674265583113,-124.70400222543296,-104.04464780319809,9.859548619201943,44.4021376325732
1.0,-18.96395648766333,23.132282448998193,-84.6519924234356,-126.85300953898614,-104.1434989491148,-4.081628917932255,49.320268603348396
1.0,-18.954742147946202,23.205997166735223,-86.34417881148715,-126.1976429116273,-104.89203288395132,-7.041812519615126,44.16886972275043
1.0,-18.954742147946202,23.205997166735223,-86.34417881148715,-126.1976429116273,-104.89203288395132,-7.041812519615126,44.16886972275043
1.0,-18.96395648766333,23.132282448998193,-84.6519924234356,-126.85300953898614,-104.1434989491148,-4.081628917932255,49.320268603348396
1.0,-19.08916310381961,41.16753598323671,-84.1674265583113,-124.70400222543296,-104.04464780319809,9.859548619201943,44.4021376325732

1.5,-21.2122,24.1720,-18.1897,-121.6313,-163.5387,-23.2169,41.2753
2.0,-21.2122,24.1720,-18.1897,-121.6313,-163.5387,-23.2169,41.2753
1.0,-21.2122,10.0,-0.0,-121.6313,-0.0,5.0,-35.0
0.5,-21.2122,10.0,-0.0,-121.6313,-0.0,-23.6033,2.7826
0.5,-21.2122,10.0,-0.0,-121.6313,-0.0,0.4731,35.0000
0.5,-21.2122,10.0,-0.0,-121.6313,-0.0,33.3241,-3.1765
0.5,-21.2122,10.0,-0.0,-121.6313,-0.0,5.0,-35.0
0.2,-21.2122,10.0,-0.0,-121.6313,-0.0,5.0,-35.0

0.5,-19.512,19.69,-5.0,-83.63,5.0,0.0,-5.0
1.0,-19.512,19.69,-5.0,-83.63,5.0,0.0,-5.0
0.5,-19.512,19.69,-5.0,-83.63,5.0,0.0,-5.0
1.0,-19.512,19.69,-5.0,-83.63,5.0,0.0,5.0
2.8,-19.512,19.69,-5.0,-83.63,5.0,0.0,5.0

2.0,-21.2122,24.1720,-18.1897,-121.6313,-163.5387,-23.2169,41.2753
8.52,-21.2122,24.1720,-18.1897,-121.6313,-163.5387,-23.2169,41.2753
1.00,-29.9409,13.2429,-23.8396,-114.1074,-177.3171,-34.9607,35.4495
1.68,-29.9409,13.2429,-23.8396,-114.1074,-177.3171,-34.9607,35.4495
1.00,-10.2122,15.1720,-30.1897,-60.12,-100.5387,-10.2169,20.0

1.0,34.06,28.60,-12.48,-108.13,-116.76,23.4,-19.1
1.0,-8.1949,47.7474,84.2981,-119.6457,5.7210,0.0,-23.2596
0.5,-8.1949,47.7474,84.2981,-119.6457,5.7210,0.0,-23.2596
0.3,-8.1949,47.7474,84.2981,-140.6457,5.7210,0.0,-23.2596
1.5,-8.1949,47.7474,84.2981,-140.6457,5.7210,0.0,-23.2596
1.0,-8.1949,47.7474,84.2981,-119.6457,5.7210,0.0,-23.2596
1.9,-24.0927,42.6800,-22.8826,-125.6006,-102.1504,31.3290,30.6493
0.5,-24.0927,42.6800,-22.8826,-125.6006,-102.1504,31.3290,30.6493

0.5,-24.0927,42.6800,-22.8826,-125.6006,-102.1504,31.3290,30.6493
0.5,-34.4247,40.5732,-21.9010,-122.1737,-114.3350,23.7372,16.9191
1.0,-38.3044,46.3636,-21.9823,-106.7994,-170.2174,29.5716,51.5088
2.0,-87.2716,25.6356,-61.8566,-22.9888,-183.1853,9.3538,85.8609
1.0,-87.2716,25.6356,-61.8566,-22.9888,-183.1853,9.3538,85.8609
1.0,-38.3044,46.3636,-21.9823,-106.7994,-170.2174,29.5716,51.5088
0.5,-34.4247,40.5732,-17.9010,-122.1737,-114.3350,23.7372,16.9191
0.5,-23.9175,26.4926,-5.7738,-115.7495,-115.7919,35.4748,13.7903
2.8,16.7777,15.9732,-14.3579,-141.0418,-84.4475,-6.5699,-9.6787
0.2,16.7777,15.9732,-14.3579,-141.0418,-84.4475,-6.5699,-9.6787

2.0000,-20.0650,31.2393,-2.3774,-43.0732,-158.8041,-2.1810,2.7263
0.5000,-20.0650,31.2393,-2.3774,-43.0732,-158.8041,-2.1810,2.7263

0.8000,3.9941,31.7802,19.0074,-125.8379,-63.0783,14.3507,-25.2029
1.0000,-35.6638,34.6941,26.8862,-74.1085,6.4551,8.5504,2.8702
0.2000,-35.6638,34.6941,26.8862,-74.1085,6.4551,8.5504,2.8702

2.5,-35.6638,34.6941,26.8862,-74.1085,6.4551,8.5504,2.8702

1.3,-24.225,20.78,18.483,-120.65,-18.77,9.12,-40.78
0.2,-24.225,20.78,18.483,-120.65,-18.77,9.12,-40.78

0.5,-24.225,20.78,18.483,-130.65,-18.77,9.12,-40.78
1.5,-0.17,10.0,-45.0,-19.12,-45.0,-2.29,0.11

1.0,-0.17,10.0,-45.0,-19.12,-45.0,-2.29,0.11
2.5,-0.17,10.0,-45.0,-19.12,-45.0,-2.29,0.11

1.6,-7.51,39.42,-17.38,-127.91,-83.87,8.66,-0.98

0.76,60.15,22.70,-7.90,-101.95,-102.65,-27.04,-14.21

0.56,-45.48,15.87,-15.30,-96.31,-78.87,25.08,-10.5

0.56,60.15,22.70,-7.90,-101.95,-102.65,-27.04,-14.21

0.56,-45.48,15.87,-15.30,-96.31,-78.87,25.08,-10.5

0.66,60.15,22.70,-7.90,-101.95,-102.65,-27.04,-14.21
