duration,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7

1.0,-0.17,-10.0,45.0,-19.12,45.0,2.29,0.11
1.0,-0.17,-10.0,45.0,-19.12,45.0,2.29,0.11

0.75,30.0,-10.0,-25.0,-60.0,120.0,0.0,-0.0
0.75,-10.0,-35.0,-60.0,-145.0,120.0,-10.0,-0.0
0.3,-10.0,-25.0,-60.0,-140.0,120.0,10.0,-0.0
0.3,-10.0,-35.0,-60.0,-145.0,120.0,-10.0,-0.0
0.3,-10.0,-25.0,-60.0,-140.0,120.0,10.0,-0.0
0.3,-10.0,-35.0,-60.0,-145.0,120.0,-10.0,-0.0
0.3,-10.0,-25.0,-60.0,-140.0,120.0,10.0,-0.0

1.1,6.869,-21.169,31.533,-125.245,156.324,4.281,10.394
3.4,6.869,-21.169,31.533,-125.245,156.324,4.281,10.394

0.3,6.869,-21.169,31.533,-127.245,153.324,-3.7070,15.2635
0.5,11.8866,-21.9055,24.6424,-131.2452,153.1616,-3.7070,22.2635
0.2,10.9711,-21.8892,23.5709,-130.5904,145.2629,-4.5864,0.9661
0.2,11.8866,-21.9055,24.6424,-131.2452,153.1616,-3.7070,22.2635
0.2,10.9711,-21.8892,23.5709,-130.5904,145.2629,-4.5864,0.9661
0.4,11.8866,-21.9055,24.6424,-131.2452,153.1616,-3.7070,22.2635

1.0,-20.0,-40.0,10.0,-110.0,100.0,5.0,-10.0
1.0,-23.184423216712258,-29.665960399217084,39.15689109237543,-76.30005836365312,55.313606949529074,-3.894355158241917,-20.2535690436689
1.0,-31.729910274374255,-20.56381881864383,58.2376205666159,-106.96836440816615,65.04032506186857,-13.554434788814085,-33.99598369451906
1.0,-30.38353263570672,-18.02608125654987,69.63359071677088,-112.31608168439128,71.21335456396874,-12.672124340219673,-40.747048343119545
1.0,-30.38353263570672,-18.02608125654987,69.63359071677088,-112.31608168439128,71.21335456396874,-12.672124340219673,-40.747048343119545
1.0,-31.729910274374255,-20.56381881864383,58.2376205666159,-106.96836440816615,65.04032506186857,-13.554434788814085,-33.99598369451906
1.0,-23.184423216712258,-29.665960399217084,39.15689109237543,-76.30005836365312,55.313606949529074,-3.894355158241917,-20.2535690436689

1.5,-21.2122,-24.1720,18.1897,-121.6313,163.5387,23.2169,41.2753
2.0,-21.2122,-24.1720,18.1897,-121.6313,163.5387,23.2169,41.2753
1.0,-21.2122,-10.0,0.0,-121.6313,-0.0,-5.0,-35.0
0.5,-21.2122,-10.0,0.0,-121.6313,-0.0,-23.6033,2.7826
0.5,-21.2122,-10.0,0.0,-121.6313,-0.0,0.4731,35.0000
0.5,-21.2122,-10.0,0.0,-121.6313,-0.0,33.3241,-3.1765
0.5,-21.2122,-10.0,0.0,-121.6313,-0.0,-5.0,-35.0
0.2,-21.2122,-10.0,0.0,-121.6313,-0.0,-5.0,-35.0

1.5,-37.265,-26.936,67.592,-106.512,135.14,-1.245,7.0
0.5,-37.265,-26.936,67.592,-111.512,135.14,4.755,17.0
1.0,-37.265,-26.936,67.592,-106.512,135.14,-1.245,7.0
1.0,-40.916,-31.858,50.093,-100.262,112.33,0.0,17.0
1.0,-43.631,-23.34,55.255,-86.08,84.02,11.04,-4.2
0.8,-43.631,-23.34,55.255,-86.08,84.02,11.04,-4.2

2.0,-21.2122,-24.1720,18.1897,-121.6313,163.5387,23.2169,41.2753
8.52,-21.2122,-24.1720,18.1897,-121.6313,163.5387,23.2169,41.2753
1.00,-29.9409,-13.2429,23.8396,-114.1074,177.3171,34.9607,35.4495
1.68,-29.9409,-13.2429,23.8396,-114.1074,177.3171,34.9607,35.4495
1.0,-21.2122,-42.1720,18.1897,-121.6313,120.5387,0.2169,40.0

1.0,-12.06,-35.17,47.42,-117.07,104.85,-2.17,2.0
2.0,-22.6379,-31.1822,59.4175,-133.3608,96.5042,-1.6586,-11.9191
2.7,-22.6379,-31.1822,59.4175,-133.3608,96.5042,-1.6586,-11.9191
1.5,-24.1909,-42.3245,22.3483,-127.3956,110.8446,-26.2848,28.7135
0.5,-24.1909,-42.3245,22.3483,-127.3956,110.8446,-26.2848,28.7135

0.5,-24.1909,-42.3245,22.3483,-127.3956,110.8446,-26.2848,28.7135
0.5,-32.5218,-38.0177,22.1619,-123.6482,133.1951,-15.5562,23.4746
1.0,-45.3373,-40.4914,27.1864,-103.0087,183.1251,-23.2437,53.1030
2.0,-86.7113,-25.5907,61.1819,-25.6971,189.8810,4.1971,80.0000
1.0,-86.7113,-25.5907,61.1819,-25.6971,189.8810,4.1971,80.0000
1.0,-45.3373,-40.4914,27.1864,-103.0087,183.1251,-23.2437,53.1030
0.5,-32.5218,-38.0177,20.1619,-123.6482,133.1951,-15.5562,23.4746
0.5,-26.5590,-33.8913,15.4235,-119.9870,108.4153,-23.6804,22.5476
2.8,16.7777,-15.9732,14.3579,-141.0418,84.4475,6.5699,-9.6787
0.2,16.7777,-15.9732,14.3579,-141.0418,84.4475,6.5699,-9.6787

2.0000,-20.0650,-31.2393,2.3774,-43.0732,158.8041,2.1810,2.7263
0.5000,-20.0650,-31.2393,2.3774,-43.0732,158.8041,2.1810,2.7263
0.8000,3.9941,-31.7802,-19.0074,-125.8379,63.0783,-14.3507,-25.2029
1.0000,-35.6638,-34.6941,-26.8862,-74.1085,-6.4551,-8.5504,2.8702
0.2000,-35.6638,-34.6941,-26.8862,-74.1085,-6.4551,-8.5504,2.8702

1.0,-14.14,-27.34,-10.13,-147.63,11.22,-5.11,-7.22
1.0,-18.21,-23.48,-5.28,-140.17,184.2,5.05,-18.65
1.0,-14.14,-27.34,-10.13,-147.63,11.22,-5.11,-7.22

1.5,-0.17,-10.0,45.0,-19.12,45.0,2.29,0.11
0.5,-0.17,-10.0,45.0,-19.12,45.0,2.29,0.11
1.0,-20.0650,-31.2393,2.3774,-43.0732,158.8041,2.1810,2.7263

1.2,-37.1322,-4.2407,58.3795,-130.9022,60.2763,-15.1139,-18.2349
0.1,-37.1322,-4.2407,58.3795,-130.9022,60.2763,-12.1139,-15.2349

0.5,-37.4932,-4.3534,61.9503,-133.0401,71.8305,-11.2267,-14.2060
