duration,joint_1,joint_2,joint_3
1.0,0.0,20.0,30.0
1.0,0.0,20.0,30.0

1.0,-0.0,20.0,30.0
2.0,-0.0,20.0,30.0

0.4,-15.0,0.0,0.0
1.6,-9.137,42.1,53.1
2.3,-9.137,42.1,53.1

0.6,0.0,0.0,0.0
1.4,0.0,0.0,0.0

1.0,4.8,13.8,60.9
1.0,-8.0903,16.2788,34.1315
1.0,-8.0903,16.2788,34.1315
2.0,-8.0903,16.2788,40.1315
1.0,-8.0903,16.2788,34.1315
1.0,-8.0903,16.2788,34.1315

1.5,0.0,0.0,0.0
0.5,0.0,80.0,80.0
0.5,0.0,0.0,0.0
0.5,0.0,80.0,80.0
0.5,0.0,0.0,0.0
3.2,0.0,0.0,0.0

1.5,0.0,80.0,80.0
1.0,0.0,0.0,0.0
3.3,0.0,0.0,0.0

2.0,10.00,0.0,0.0
0.2,0.00,0.0,0.0
0.2,10.00,0.0,0.0
0.2,0.00,0.0,0.0
0.2,10.00,0.0,0.0

2.0,7.5448,13.2656,34.5794
1.5,7.5448,13.2656,34.5794

0.5,12.2866,49.0548,15.8571
0.5,12.2203,12.5735,31.3181
0.5,12.2203,12.5693,31.4027
0.5,12.2153,12.5681,31.4630

0.5,7.5448,13.2656,34.5794
0.3,12.2866,49.0548,15.8571

0.12,12.2203,12.5735,31.3181
0.12,12.2203,12.5693,31.4027
0.12,12.2153,12.5681,31.4630
0.12,12.2203,12.5693,31.4027
0.12,12.2203,12.5735,31.3181
0.12,12.2866,49.0548,15.8571

0.12,12.2203,12.5735,31.3181
0.12,12.2203,12.5693,31.4027
0.12,12.2153,12.5681,31.4630
0.12,12.2203,12.5693,31.4027
0.12,12.2203,12.5735,31.3181
0.12,12.2866,49.0548,15.8571

1.0,7.5448,13.2656,34.5794
0.84,7.5448,13.2656,34.5794

0.12,12.2866,49.0548,15.8571
0.12,12.2203,12.5735,31.3181
0.12,12.2203,12.5693,31.4027
0.12,12.2153,12.5681,31.4630
0.12,12.2203,12.5693,31.4027
0.12,12.2203,12.5735,31.3181
0.12,12.2866,49.0548,15.8571


0.7,4.8,13.8,30.9
2.0,5.32850,90.00,100.00
3.0,5.32850,90.00,100.00
1.0,-10.5502,12.7001,11.1761
1.0,14.9541,-6.1868,9.1566

0.5,14.9541,0.0868,9.1566
0.5,22.7910,0.0764,0.0000
1.0,28.6479,0.0703,0.0000
2.0,20.4932,0.000,0.0
1.0,20.4932,0.000,0.0

1.0,28.6479,0.0703,0.0000
0.5,22.7910,0.0764,0.0000
0.5,14.9541,0.0868,0.0000

0.4,17.7886,2.0753,0.0000
0.3,0.0,0.0,0.0
0.4,5.3285,90.00,100.00
0.2,5.3285,90.00,100.00
1.7,5.3285,90.00,100.00

2.0,0,0,0
0.5,0,0,0
0.8,0.0,20.0,30.0
1.0,0,0,0
0.2,0,0,0
3.8,0,0,0


0.7,0,80,80
0.3,0,80,80
0.5,0,80,80

0.7,0,0,0

3.5,0,0,0


1.6,0.0,-10.0,0.0

0.38,-6.74,-2.53,15.68
0.38,-6.74,-2.53,15.68

0.28,15.05,-10.1,13.3
0.28,15.05,-10.1,13.3

0.28,-6.74,-2.53,15.68
0.28,-6.74,-2.53,15.68

0.28,15.05,-10.1,13.3
0.28,15.05,-10.1,13.3

0.33,-6.74,-2.53,15.68
0.33,-6.74,-2.53,15.68

1.7,0.0,-10.0,0.0

1.5,4.8,80.8,80.9
3.5,4.8,80.8,80.9

2.0,4.8,13.8,30.9

1.5,0.0,20.0,30.0
1.5,0.0,20.0,30.0
