duration,joint_1,joint_2,joint_3
1.0,0.0,20.0,30.0
1.0,0.0,20.0,30.0

1.0,-0.0,20.0,30.0
2.0,-0.0,20.0,30.0

0.4,-15.0,0.0,0.0
1.6,-9.218,64.84,36.58
2.3,-9.218,64.84,36.58

0.6,0.0,0.0,0.0
1.4,0.0,0.0,0.0

1.0,-1.5,36.5,59.0
1.0,1.2907,19.2427,28.8806
1.0,1.2907,19.2427,28.8806
2.0,1.2907,19.2427,35.8806
1.0,1.2907,19.2427,28.8806
1.0,1.2907,19.2427,28.8806


1.5,0.0,0.0,0.0
0.5,0.0,80.0,80.0
0.5,0.0,0.0,0.0
0.5,0.0,80.0,80.0
0.5,0.0,0.0,0.0
3.2,0.0,0.0,0.0

1.5,0.0,80.0,80.0
1.0,0.0,0.0,0.0
3.3,0.0,0.0,0.0


2.0,-20.00,80.0,80.0
0.8,-20.00,80.0,80.0

2.0,4.6570,12.9998,15.5092
1.5,4.6570,12.9998,30.5092

0.5,4.6570,13.0025,15.2838
0.5,4.6570,13.0039,15.0474
0.5,4.6570,13.0080,15.8111
0.5,6.3294,36.0297,42.6991

0.5,2.6570,12.9998,30.5092


0.3,4.6570,13.0025,15.2838

0.12,4.6570,13.0039,15.0474
0.12,4.6570,13.0080,15.8111
0.12,6.3294,36.0297,42.6991
0.12,4.6570,13.0080,15.8111
0.12,4.6570,13.0039,15.0474
0.12,4.6570,13.0025,15.2838

0.12,4.6570,13.0039,15.0474
0.12,4.6570,13.0080,15.8111
0.12,6.3294,36.0297,42.6991
0.12,4.6570,13.0080,15.8111
0.12,4.6570,13.0039,15.0474
0.12,4.6570,13.0025,15.2838

1.0,-2.6570,12.9998,30.5092
0.84,-2.6570,12.9998,30.5092

0.12,4.6570,13.0025,15.2838
0.12,4.6570,13.0039,15.0474
0.12,4.6570,13.0080,15.8111
0.12,6.3294,36.0297,42.6991
0.12,4.6570,13.0080,15.8111
0.12,4.6570,13.0039,15.0474
0.12,4.6570,13.0025,15.2838

0.7,4.8,13.8,30.9
2.0,-2.3491,90.00,100.00
3.0,-2.3491,90.00,100.00
1.0,-2.0448,28.0653,2.5551
1.0,-27.0642,4.2171,0.0000



0.5,-27.0642,4.2171,0.0000
0.5,-18.2376,32.6903,0.0000
1.0,7.0509,32.4838,3.0895
2.0,-8.4951,18.6504,0.0000
1.0,-8.4951,18.6504,0.0000

1.0,7.0509,32.4838,3.0895
0.5,-18.2376,32.6903,0.0000
0.5,-27.0642,4.2171,0.0000

0.1,-13.0193,1.2026,30.4827
0.3,0.0,0.0,0.0
0.4,-2.3491,90.00,100.00
0.5,-2.3491,90.00,100.00
1.7,-2.3491,90.00,100.00

2.0,0,0,0
0.5,0,0,0
0.8,0.0,20.0,30.0
1.0,0,0,0
0.2,0,0,0

3.8,0,0,0


0.4,0,80,80
0.6,0,80,80
0.5,0,80,80

0.7,0,0,0
 
3.5,0,0,0
 
1.6,0.0,-10.0,0.0

0.38,-14.60,-0.7,54.62
0.38,-14.60,-0.7,54.62

0.28,6.82,-4.94,44.87
0.28,6.82,-4.94,44.87

0.28,-14.60,-0.7,54.62
0.28,-14.60,-0.7,54.62

0.28,6.82,-4.94,44.87
0.28,6.82,-4.94,44.87

0.33,-14.60,-0.7,54.62
0.33,-14.60,-0.7,54.62

1.7,0.0,-10.0,0.0

1.5,4.8,80.8,80.9
3.5,4.8,80.8,80.9

2.0,4.8,13.8,30.9

1.5,0.0,20.0,30.0
1.5,0.0,20.0,30.0
