duration,joint_1,joint_2,joint_3
1.0,0.0,20.0,30.0
1.0,0.0,20.0,30.0

1.0,-0.0,20.0,30.0
2.0,-0.0,20.0,30.0

0.4,-15.0,0.0,0.0
1.6,-10.64,54.98,33.32
2.3,-10.64,54.98,33.32

0.6,0.0,0.0,0.0
1.4,0.0,0.0,0.0

1.0,2.4,22.8,62.4
1.0,-7.5334,15.8785,33.4386
1.0,-7.5334,15.8785,33.4386
2.0,-7.5334,15.8785,40.4386
1.0,-7.5334,15.8785,33.4386
1.0,-7.5334,15.8785,33.4386

1.5,0.0,0.0,0.0
0.5,0.0,80.0,80.0
0.5,0.0,0.0,0.0
0.5,0.0,80.0,80.0
0.5,0.0,0.0,0.0
3.2,0.0,0.0,0.0
 
1.5,0.0,80.0,80.0
1.0,0.0,0.0,0.0
3.3,0.0,0.0,0.0


2.0,-10.0,0.0,0.0
0.2,0.0,0.0,0.0
0.2,-10.0,0.0,0.0
0.2,0.0,0.0,0.0
0.2,-10.0,0.0,0.0

2.0,4.0868,12.3341,35.5125
1.5,4.0868,12.3341,28.5125

0.5,4.0868,12.3341,28.2826
0.5,9.1423,46.7369,15.7832
0.5,4.9765,11.0473,28.9758
0.5,4.9765,11.0473,28.7057

0.5,4.0868,12.3341,28.5125
0.3,4.0868,12.3341,28.2826

0.12,9.1423,46.7369,15.7832
0.12,4.9765,11.0473,28.9758
0.12,4.9765,11.0473,28.7057
0.12,4.9765,11.0473,28.9758
0.12,9.1423,46.7369,15.7832
0.12,4.0868,12.3341,28.2826

0.12,9.1423,46.7369,15.7832
0.12,4.9765,11.0473,28.9758
0.12,4.9765,11.0473,28.7057
0.12,4.9765,11.0473,28.9758
0.12,9.1423,46.7369,15.7832
0.12,4.0868,12.3341,28.2826

1.0,4.0868,12.3341,28.5125
0.84,4.0868,12.3341,28.5125

0.12,4.0868,12.3341,28.2826
0.12,9.1423,46.7369,15.7832
0.12,4.9765,11.0473,28.9758
0.12,4.9765,11.0473,28.7057
0.12,4.9765,11.0473,28.9758
0.12,9.1423,46.7369,15.7832
0.12,4.0868,12.3341,28.2826

0.75,4.8,13.8,30.9
2.0,0.0,90.00,100.00
3.0,0.0,90.00,100.00
1.0,-4.6415,18.2813,3.2327
1.0,-1.9462,-6.1638,3.6299
 
0.5,-1.9462,-6.1638,3.6299
0.5,-2.3799,-6.6914,1.4808
1.0,5.1796,-3.1328,0.0000
2.0,5.1959,-16.1418,0.0
1.0,5.1959,-16.1418,0.0

1.0,5.1796,-3.1328,0.0000
0.5,-2.3799,-6.6914,1.4808
0.5,-1.9462,-6.1638,3.6299

0.3,4.6648,1.4911,33.8337
0.3,0.0,0.0,0.0
0.4,0.0,90.00,100.00
0.3,0.0,90.00,100.00
1.7,0.0,90.00,100.00


2.0,0,0,0
0.5,0,0,0
0.8,0.0,20.0,30.0
1.0,0,0,0
0.2,0,0,0
3.8,0,0,0

0.6,0,80,80
0.4,0,80,80
0.5,0,80,80

0.7,0,0,0
 
3.5,0,0,0

1.6,0.0,-10.0,0.0

0.38,-5.6,-0.76,22.88
0.38,-5.6,-0.76,22.88

0.28,8.35,-9.95,20.39
0.28,8.35,-9.95,20.39

0.28,-5.6,-0.76,22.88
0.28,-5.6,-0.76,22.88

0.28,8.35,-9.95,20.39
0.28,8.35,-9.95,20.39

0.33,-5.6,-0.76,22.88
0.33,-5.6,-0.76,22.88

1.7,0.0,-10.0,0.0


1.5,4.8,80.8,80.9
3.5,4.8,80.8,80.9

2.0,4.8,13.8,30.9

1.5,0.0,20.0,30.0
1.5,0.0,20.0,30.0
