duration,joint_1,joint_2,joint_3
1.0,0.0,20.0,30.0
1.0,0.0,20.0,30.0

1.0,-0.0,20.0,30.0
2.0,-0.0,20.0,30.0

0.4,-15.0,0.0,0.0
1.6,-8.19,60.7,35.22
2.3,-8.19,60.7,35.22

0.6,0.0,0.0,0.0
1.4,0.0,0.0,0.0

1.0,2.8,30.6,57.7
1.0,-1.2292,16.8181,31.3207
1.0,-1.2292,16.8181,31.3207
2.0,-1.2292,16.8181,40.3207
1.0,-1.2292,16.8181,31.3207
1.0,-1.2292,16.8181,31.3207


1.5,0.0,0.0,0.0
0.5,0.0,80.0,80.0
0.5,0.0,0.0,0.0
0.5,0.0,80.0,80.0
0.5,0.0,0.0,0.0
3.2,0.0,0.0,0.0

1.5,0.0,80.0,80.0
1.0,0.0,0.0,0.0
3.3,0.0,0.0,0.0


2.0,-10.00,80.0,80.0
0.8,-10.00,80.0,80.0

2.0,3.9205,14.4788,30.3236
1.5,3.9205,14.4788,30.3236

0.5,3.9138,14.4733,30.2706
0.5,3.9105,14.4733,30.2268
0.5,10.6716,43.1424,25.5948
0.5,5.3777,6.7774,30.7740

0.5,6.3205,14.4788,30.3236
0.3,3.9138,14.4733,30.2706

0.12,3.9105,14.4733,30.2268
0.12,10.6716,43.1424,25.5948
0.12,5.3777,6.7774,30.7740
0.12,10.6716,43.1424,25.5948
0.12,3.9105,14.4733,30.2268
0.12,3.9138,14.4733,30.2706

0.12,3.9105,14.4733,30.2268
0.12,10.6716,43.1424,25.5948
0.12,5.3777,6.7774,30.7740
0.12,10.6716,43.1424,25.5948
0.12,3.9105,14.4733,30.2268
0.12,3.9138,14.4733,30.2706

1.0,6.3205,14.4788,30.3236
0.84,6.3205,14.4788,30.3236

0.12,3.9138,14.4733,30.2706
0.12,3.9105,14.4733,30.2268
0.12,10.6716,43.1424,25.5948
0.12,5.3777,6.7774,30.7740
0.12,10.6716,43.1424,25.5948
0.12,3.9105,14.4733,30.2268
0.12,3.9138,14.4733,30.2706

0.75,4.8,13.8,30.9
2.0,-2.7501,90.00,100.00
3.0,-2.7501,90.00,100.00
1.0,-7.8056,24.1330,0.7981
1.0,-13.8185,-7.2066,0.8297

0.5,-13.8185,-7.2066,0.8297
0.5,-8.6862,-2.4877,0.6420
1.0,-14.1699,-2.1313,0.0000
2.0,-19.2802,-12.6987,0.0
1.0,-19.2802,-12.6987,0.0

1.0,-14.1699,-2.1313,0.0000
0.5,-8.6862,-2.4877,0.6420
0.5,-13.8185,-7.2066,0.8297

0.2,-5.0647,-4.4473,38.5806
0.3,0.0,0.0,0.0
0.4,-2.7501,90.00,100.00
0.4,-2.7501,90.00,100.00
1.7,-2.7501,90.00,100.00

2.0,0,0,0
0.5,0,0,0
0.8,0.0,20.0,30.0
1.0,0,0,0
0.2,0,0,0

3.8,0,0,0

0.5,0,80,80
0.5,0,80,80
0.5,0,80,80

0.7,0,0,0

3.5,0,0,0



1.6,0.0,-10.0,0.0

0.38,-13.01,-1.85,24.71
0.38,-13.01,-1.85,24.71

0.28,9.18,-5.51,27.87
0.28,9.18,-5.51,27.87

0.28,-13.01,-1.85,24.71
0.28,-13.01,-1.85,24.71

0.28,9.18,-5.51,27.87
0.28,9.18,-5.51,27.87

0.33,-13.01,-1.85,24.71
0.33,-13.01,-1.85,24.71

1.7,0.0,-10.0,0.0

1.5,4.8,80.8,80.9
3.5,4.8,80.8,80.9

2.0,4.8,13.8,30.9

1.5,0.0,20.0,30.0
1.5,0.0,20.0,30.0
