duration,joint_1,joint_2,joint_3
1.0,0.0,45.0,30.0
1.0,0.0,45.0,30.0

1.0,-0.0,45.0,30.0
2.0,-0.0,45.0,30.0


0.4,0.0,0.0,0.0
1.6,8.0,-2.67,43.23
2.2,8.0,-2.67,43.23

0.3,0.0,0.0,0.0
0.5,0.0,0.0,0.0
1.3,0.0,0.0,0.0

1.0,19.0,50.0,27.5
1.0,0.0,54.1125,34.4866
1.0,0.0,54.1125,34.4866
2.0,0.0,54.1125,34.4866
1.0,0.0,54.1125,34.4866
1.0,0.0,54.1125,34.4866


1.5,0.0,30.4830,16.7041
0.5,0.0,50.4830,40.0
0.5,0.0,30.4830,16.7041
0.5,0.0,50.4830,40.0
0.5,0.0,30.4830,16.7041
3.2,0.0,30.4830,16.7041

2.0,0.0,50.4830,40.0
1.0,0.0,0.0,0.0
2.8,0.0,0.0,0.0

2.0,0.0000,35.4226,14.3251
0.2,0.0000,40.4226,30.3251
0.2,0.0000,35.4226,14.3251
0.2,0.0000,40.4226,30.3251
0.2,0.0000,35.4226,14.3251

2.0,40.8470,35.3591,20.5326
1.5,40.8470,35.3591,20.5326

0.45,77.3145,35.9452,20.5733
0.05,77.3145,38.9452,17.5733

0.45,100.9860,33.6234,12.6103
0.05,100.9860,36.6234,9.6103

0.45,120.1436,30.0125,20.1609
0.05,120.1436,33.0125,17.1609

0.45,135.7419,19.6799,23.5338
0.05,135.7419,22.6799,19.5338

0.5,40.8470,24.3591,15.5326

0.3,77.3145,35.9452,20.5733
0.12,100.9860,33.6234,12.6103
0.12,120.1436,30.0125,20.1609
0.12,135.7419,19.6799,23.5338
0.12,120.1436,30.0125,20.1609
0.12,100.9860,33.6234,12.6103
0.12,77.3145,35.9452,20.5733
0.12,100.9860,33.6234,12.6103
0.12,120.1436,30.0125,20.1609
0.12,135.7419,19.6799,23.5338
0.12,120.1436,30.0125,20.1609
0.12,100.9860,33.6234,12.6103
0.12,77.3145,35.9452,20.5733

0.5,90.0,24.3591,15.5326
0.5,90.0,24.3591,15.5326
0.84,90.0,24.3591,15.5326

0.12,77.3145,35.9452,20.5733
0.12,100.9860,33.6234,12.6103
0.12,120.1436,30.0125,20.1609
0.12,135.7419,19.6799,23.5338
0.12,120.1436,30.0125,20.1609
0.12,100.9860,33.6234,12.6103
0.12,77.3145,35.9452,20.5733

0.7,69.3145,50.0,27.5
2.0,31.2000,60.9299,36.4499
3.0,31.2000,60.9299,36.4499
1.0,31.9962,39.7437,23.8933
1.0,14.9545,29.7162,18.1244


0.5,14.9545,29.7162,18.1244
0.5,14.9559,29.6736,18.1607
1.0,14.9573,45.8852,18.3684
2.0,15.2506,15.00,25.2501
1.0,15.2506,15.00,25.2501

1.0,14.9573,45.8852,18.3684
0.5,14.9559,29.6736,18.1607
0.5,14.9545,29.7162,18.1244

0.5,18.6191,1.1016,14.7823
0.3,0.0,0.0,0.0
0.4,31.2000,60.9299,36.4499
0.1,31.2000,60.9299,36.4499
1.7,31.2000,60.9299,36.4499

2.0,0,0,0
0.5,0,0,0
2.0,0,0,0

3.8,0,0,0

0.7,0,60,35
0.3,0,60,35
0.5,0,60,35

0.7,0,0,0

3.5,0,0,0


1.6,0.0,45.0,30.0

0.38,27.37,53.97,14.55
0.38,27.37,53.97,14.55

0.28,-0.04,29.6,2.37
0.28,-0.04,29.6,2.37

0.28,27.37,53.97,14.55
0.28,27.37,53.97,14.55

0.28,-0.04,29.6,2.37
0.28,-0.04,29.6,2.37

0.33,27.37,53.97,14.55
0.33,27.37,53.97,14.55

1.7,0.0,45.0,30.0

1.5,19.0,50.0,27.5
3.5,19.0,50.0,27.5

2.0,19.0,50.0,27.5

1.5,0.0,45.0,30.0
1.5,0.0,45.0,30.0
