duration,joint_1,joint_2,joint_3
1.0,0.0,20.0,30.0
1.0,0.0,20.0,30.0

0.5,-0.0,20.0,30.0
0.5,-0.0,0.0,0.0
2.0,-0.0,0.0,0.0

0.4,-15.0,0.0,0.0
1.6,18.82,70.24,40.94
2.2,18.82,70.24,40.94

0.4,0.0,0.0,0.0
0.5,0.0,0.0,0.0
1.2,0.0,0.0,0.0

1.0,4.8,13.8,60.9
1.0,-10.2960,70.5677,21.8559
1.0,-10.2960,70.5677,21.8559
2.0,-10.2960,70.5677,21.8559
1.0,-10.2960,70.5677,21.8559
1.0,-10.2960,70.5677,21.8559

1.5,0.0,0.0,0.0
0.5,0.0,80.0,80.0
0.5,0.0,0.0,0.0
0.5,0.0,80.0,80.0
0.5,0.0,0.0,0.0
3.2,0.0,0.0,0.0

1.0,0.0,15.0,16.396
2.5,0.0,15.0,16.396
1.0,0.0,0.0,0.0
1.3,0.0,0.0,0.0

2.0,-10.00,0.0,0.0

0.2,0.00,0.0,0.0
0.2,-10.00,0.0,0.0
0.2,0.00,0.0,0.0
0.2,-10.00,0.0,0.0

2.0,-7.5448,13.2656,39.5794
1.5,-7.5448,13.2656,39.5794

0.5,-16.2866,45.0548,25.8571
0.5,-12.2203,12.5735,31.3181
0.5,-12.2203,12.5693,31.4027
0.5,-12.2153,12.5681,31.4630

0.5,-7.5448,13.2656,39.5794
0.3,-16.2866,45.0548,25.8571

0.12,-12.2203,12.5735,31.3181
0.12,-12.2203,12.5693,31.4027
0.12,-12.2153,12.5681,31.4630
0.12,-12.2203,12.5693,31.4027
0.12,-12.2203,12.5735,31.3181
0.12,-16.2866,45.0548,25.8571

0.12,-12.2203,12.5735,31.3181
0.12,-12.2203,12.5693,31.4027
0.12,-12.2153,12.5681,31.4630
0.12,-12.2203,12.5693,31.4027
0.12,-12.2203,12.5735,31.3181
0.12,-16.2866,60.0548,25.8571

1.0,-7.5448,13.2656,39.5794


0.12,-9.2866,41.0548,25.8571
0.12,-12.2203,12.5735,31.3181
0.12,-12.2203,12.5693,31.4027
0.12,-12.2153,12.5681,31.4630
0.12,-12.2203,12.5693,31.4027
0.12,-12.2203,12.5735,31.3181
0.12,-9.2866,35.0548,25.8571

0.2,-7.5448,13.2656,39.5794
0.64,-7.5448,13.2656,39.5794

1.0,0.0,80.0,80.0
2.0,-5.32850,90.00,100.00
2.7,-5.32850,90.00,100.00
1.0,-12.0,40.0,50.0
1.0,-28.6479,-9.9241,0.0000

0.5,-28.6479,-9.9241,0.0000
0.5,-28.6448,-8.5754,1.5149
1.0,-28.6479,-2.1880,0.0000
2.0,-22.2246,0.3377,0.0000
1.0,-22.2246,0.3377,0.0000

1.0,-28.6479,-2.1880,0.0000
0.5,-28.6448,-8.5754,1.5149
0.5,-28.6479,-9.9241,0.0000


0.4,-28.6479,-7.3218,19.4654
0.3,0.0,0.0,0.0
0.4,-5.32850,90.00,100.00
0.2,-5.32850,90.00,100.00
1.7,-5.32850,90.00,100.00
 
2.0,0,0,0
0.5,0,0,0

0.8,0.0,20.0,30.0
1.0,0,0,0
0.2,0,0,0

2.0,0,0,0
4.0,0,0,0
 
1.6,0,0,0
0.5,-2.0276,26.6831,32.4427

0.7,-2.0276,26.6831,32.4427
0.2,-2.0276,0.0,0.0
0.2,-2.0276,26.6831,32.4427
0.8,-2.0276,26.6831,32.4427

0.5,0,0,0

1.6,0.0,-10.0,0.0

0.38,-15.05,-10.1,13.3
0.38,-15.05,-10.1,13.3

0.28,6.74,-2.53,15.68
0.28,6.74,-2.53,15.68

0.28,-15.05,-10.1,13.3
0.28,-15.05,-10.1,13.3

0.28,6.74,-2.53,15.68
0.28,6.74,-2.53,15.68

0.33,-15.05,-10.1,13.3
0.33,-15.05,-10.1,13.3

1.7,0.0,-10.0,0.0

1.5,4.8,80.8,80.9
3.5,4.8,80.8,80.9

2.0,4.8,13.8,30.9
 
1.5,0.0,20.0,30.0
1.5,0.0,20.0,30.0
