duration,joint_1,joint_2,joint_3
1.0,0.0,20.0,30.0
1.0,0.0,20.0,30.0

0.5,-0.0,20.0,30.0
0.5,-0.0,0.0,0.0
2.0,-0.0,0.0,0.0

0.4,-15.0,0.0,0.0
1.6,13.65,72.73,35.12
2.2,13.65,72.73,35.12

0.4,0.0,0.0,0.0
0.5,0.0,0.0,0.0
1.2,0.0,0.0,0.0


1.0,2.4,22.8,62.4
1.0,-15.2798,70.4860,29.1344
1.0,-15.2798,70.4860,29.1344
2.0,-15.2798,70.4860,29.1344
1.0,-15.2798,70.4860,29.1344
1.0,-15.2798,70.4860,29.1344

1.5,0.0,0.0,0.0
0.5,0.0,80.0,80.0
0.5,0.0,0.0,0.0
0.5,0.0,80.0,80.0
0.5,0.0,0.0,0.0
3.2,0.0,0.0,0.0

1.0,0.0,13.0,20.3961
2.5,0.0,13.0,20.3961
1.0,0.0,80.0,80.0
1.3,0.0,80.0,80.0

2.0,10.0,0.0,0.0
0.2,0.0,0.0,0.0
0.2,10.0,0.0,0.0
0.2,0.0,0.0,0.0
0.2,10.0,0.0,0.0

2.0,-4.0868,12.3341,43.5125
1.5,-4.0868,12.3341,33.5125

0.5,-4.0868,12.3341,33.2826
0.5,-12.1423,52.7369,5.7832
0.5,-4.9765,11.0473,35.9758
0.5,-4.9765,11.0473,35.7057

0.5,-4.0868,12.3341,33.5125
0.3,-4.0868,12.3341,33.2826

0.12,-12.1423,52.7369,5.7832
0.12,-4.9765,11.0473,35.9758
0.12,-4.9765,11.0473,35.7057
0.12,-4.9765,11.0473,35.9758
0.12,-12.1423,52.7369,5.7832
0.12,-4.0868,12.3341,33.2826

0.12,-12.1423,52.7369,5.7832
0.12,-4.9765,11.0473,35.9758
0.12,-4.9765,11.0473,35.7057
0.12,-4.9765,11.0473,35.9758
0.12,-12.1423,52.7369,5.7832
0.12,-4.0868,12.3341,33.2826

1.0,-4.0868,12.3341,33.5125

0.12,-4.0868,12.3341,33.2826
0.12,-12.1423,52.7369,5.7832
0.12,-4.9765,11.0473,35.9758
0.12,-4.9765,11.0473,35.7057
0.12,-4.9765,11.0473,35.9758
0.12,-12.1423,52.7369,5.7832
0.12,-4.0868,12.3341,33.2826

0.2,-4.0868,12.3341,33.5125
0.64,-4.0868,12.3341,33.5125

0.5,0.0,0.0,0.0
0.4,0.0,80.0,80.0
0.1,0.0,80.0,80.0
2.0,-5.32850,90.00,100.00
2.7,-5.32850,90.00,100.00
1.0,-2.0,40.0,50.0
1.0,0.0,-8.4907,1.4631

0.5,0.0,-8.4907,1.4631
0.5,-25.3809,-6.5589,1.4127
1.0,-16.6739,-9.9999,0.0000
2.0,-10.3964,-9.9999,0.0000
1.0,-10.3964,-9.9999,0.0000

1.0,-16.6739,-9.9999,0.0000
0.5,-25.3809,-6.5589,1.4127
0.5,-13.9280,-8.4907,1.4631

0.3,-16.9318,-6.4958,43.2298
0.3,0.0,0.0,0.0
0.4,0.0,90.00,100.00
0.3,0.0,90.00,100.00
1.7,0.0,90.00,100.00


2.0,0,0,0
0.5,0,0,0

0.8,0.0,20.0,30.0
1.0,0,0,0
0.2,0,0,0

1.0,0,0,10
2.0,0,0,10

3.0,0,0,0

1.6,0,0,0
0.5,0.2162,13.1615,22.6038

0.6,0.2162,13.1615,22.6038
0.2,0.2162,0.0,0.0
0.2,0.2162,13.1615,22.6038
0.9,0.2162,13.1615,22.6038

0.5,0,0,0

1.6,0.0,-10.0,0.0

0.38,-8.35,-9.95,20.39
0.38,-8.35,-9.95,20.39

0.28,5.6,-0.76,22.88
0.28,5.6,-0.76,22.88

0.28,-8.35,-9.95,20.39
0.28,-8.35,-9.95,20.39

0.28,5.6,-0.76,22.88
0.28,5.6,-0.76,22.88

0.33,-8.35,-9.95,20.39
0.33,-8.35,-9.95,20.39

1.7,0.0,-10.0,0.0


1.5,4.8,80.8,80.9
3.5,4.8,80.8,80.9

2.0,4.8,13.8,30.9

1.5,0.0,20.0,30.0
1.5,0.0,20.0,30.0
