duration,joint_1,joint_2,joint_3
1.0,0.0,20.0,30.0
1.0,0.0,20.0,30.0

0.5,-0.0,20.0,30.0
0.5,-0.0,0.0,0.0
2.0,-0.0,0.0,0.0

0.4,-15.0,0.0,0.0
1.6,15.64,70.1,27.8
2.2,15.64,70.1,27.8

0.4,0.0,0.0,0.0
0.5,0.0,0.0,0.0
1.2,0.0,0.0,0.0

1.0,2.8,30.6,57.7
1.0,-17.5965,70.6271,20.1554
1.0,-17.5965,70.6271,20.1554
2.0,-17.5965,70.6271,20.1554
1.0,-17.5965,70.6271,20.1554
1.0,-17.5965,70.6271,20.1554


1.5,0.0,0.0,0.0
0.5,0.0,80.0,80.0
0.5,0.0,0.0,0.0
0.5,0.0,80.0,80.0
0.5,0.0,0.0,0.0
3.2,0.0,0.0,0.0

1.0,0.0,10.0,15.3961
2.5,0.0,10.0,15.3961
1.0,0.0,80.0,80.0
1.3,0.0,80.0,80.0

2.0,10.00,80.0,80.0
0.8,10.00,80.0,80.0

2.0,-3.9205,14.4788,37.3236
1.5,-3.9205,14.4788,37.3236

0.5,-3.9138,14.4733,30.2706
0.5,-3.9105,14.4733,30.2268
0.5,-10.6716,46.1424,28.5948
0.5,-5.3777,6.7774,30.7740

0.5,-6.3205,14.4788,37.3236
0.3,-3.9138,14.4733,37.2706

0.12,-3.9105,14.4733,37.2268
0.12,-10.6716,46.1424,28.5948
0.12,-5.3777,6.7774,30.7740
0.12,-10.6716,46.1424,28.5948
0.12,-3.9105,14.4733,37.2268
0.12,-3.9138,14.4733,37.2706

0.12,-3.9105,14.4733,37.2268
0.12,-10.6716,46.1424,28.5948
0.12,-5.3777,6.7774,30.7740
0.12,-10.6716,46.1424,28.5948
0.12,-3.9105,14.4733,37.2268
0.12,-3.9138,14.4733,37.2706


1.0,-6.3205,14.4788,37.3236

0.12,-3.9138,14.4733,37.2706
0.12,-3.9105,14.4733,37.2268
0.12,-10.6716,46.1424,28.5948
0.12,-5.3777,6.7774,30.7740
0.12,-10.6716,46.1424,28.5948
0.12,-3.9105,14.4733,37.2268
0.12,-3.9138,14.4733,37.2706


0.2,-6.3205,14.4788,37.3236
0.64,-6.3205,14.4788,37.3236

0.5,0.0,0.0,0.0
0.3,0.0,80.0,80.0
0.2,0.0,80.0,80.0
2.0,-5.32850,90.00,100.00
2.7,-5.32850,90.00,100.00
1.0,-5.32850,40.0,50.0
1.0,-6.1155,-5.8774,0.0000

0.5,-6.1155,-5.8774,0.0000
0.5,-9.2476,-3.7125,0.4333
1.0,3.9448,-7.7785,0.0
2.0,7.5188,-9.9999,0.0000
1.0,7.5188,-9.9999,0.0000
1.0,3.9448,-7.7785,0.0
0.5,-9.2476,-3.7125,0.4333
0.5,-6.1155,-5.8774,0.0000

0.2,-1.3274,-2.8949,34.0411
0.3,0.0,0.0,0.0
0.4,2.75019,90.00,100.00
0.4,2.75019,90.00,100.00
1.7,2.75019,90.00,100.00

2.0,0,0,0
0.5,0,0,0

0.8,0.0,20.0,30.0
1.0,0,0,0
0.2,0,0,0

1.0,0,5,15
2.0,0,5,15

3.0,0,0,0

1.6,0,0,0
0.5,-0.0738,10.7040,26.8908

0.5,-0.0738,10.7040,26.8908
0.2,-0.0738,0.0,0.0
0.2,-0.0738,10.7040,26.8908
1.0,-0.0738,10.7040,26.8908


0.5,0,0,0

1.6,0.0,-10.0,0.0

0.38,-9.18,-5.51,27.87
0.38,-9.18,-5.51,27.87

0.28,13.01,-1.85,24.71
0.28,13.01,-1.85,24.71

0.28,-9.18,-5.51,27.87
0.28,-9.18,-5.51,27.87

0.28,13.01,-1.85,24.71
0.28,13.01,-1.85,24.71

0.33,-9.18,-5.51,27.87
0.33,-9.18,-5.51,27.87

1.7,0.0,-10.0,0.0


1.5,4.8,80.8,80.9
3.5,4.8,80.8,80.9

2.0,4.8,13.8,30.9

1.5,0.0,20.0,30.0
1.5,0.0,20.0,30.0
