duration,joint_1,joint_2,joint_3
1.0,0.0,45.0,30.0
1.0,0.0,45.0,30.0


1.0,-0.0,45.0,30.0
2.0,-0.0,45.0,30.0

0.4,0,0,0
1.6,-17.61,63.51,30.17
2.3,-17.61,63.51,30.17

0.8,0.0,0.0,0.0
1.2,0.0,0.0,0.0

1.0000,-19.0,64.0,27.5
1.0000,-19.3158,61.4466,28.0411
1.0000,-19.3158,61.4466,28.0411
2.0000,-19.3158,61.4466,28.0411
1.0000,-19.3158,61.4466,28.0411
1.0000,-19.3158,61.4466,28.0411

1.5,0.0,30.4830,16.7041
0.5,0.0,50.4830,40.0
0.5,0.0,30.4830,16.7041
0.5,0.0,50.4830,40.0
0.5,0.0,30.4830,16.7041
3.2,0.0,30.4830,16.7041

3.5,0.0,27.4830,16.7041
2.3,0.0,27.4830,16.7041

2.0,0.0000,38.4226,14.3251
0.2,0.0000,43.4226,30.3251
0.2,0.0000,38.4226,14.3251
0.2,0.0000,43.4226,30.3251
0.2,0.0000,38.4226,14.3251

2.0,-40.8470,38.3591,20.5326
1.5,-40.8470,38.3591,20.5326

0.45,-71.3145,38.9452,35.5733
0.05,-71.3145,41.9452,32.5733

0.45,-102.9860,45.6234,24.6103
0.05,-102.9860,48.6234,21.6103

0.45,-119.1436,38.0125,27.1609
0.05,-119.1436,41.0125,25.1609

0.45,-143.7419,30.6799,31.5338
0.05,-143.7419,33.6799,27.5338

0.5,-43.8470,24.3591,25.5326

0.3,-77.3145,41.9452,32.5733
0.12,-102.9860,45.6234,24.6103
0.12,-119.1436,38.0125,27.1609
0.12,-143.7419,30.6799,31.5338
0.12,-119.1436,38.0125,27.1609
0.12,-102.9860,45.6234,24.6103
0.12,-71.3145,38.9452,35.5733

0.12,-102.9860,45.6234,24.6103
0.12,-119.1436,38.0125,27.1609
0.12,-143.7419,30.6799,31.5338
0.12,-119.1436,38.0125,27.1609
0.12,-102.9860,45.6234,24.6103
0.12,-71.3145,38.9452,35.5733

0.5,-90.0,24.3591,15.5326
0.5,-90.0,24.3591,15.5326

0.12,-71.3145,38.9452,35.5733
0.12,-102.9860,41.6234,21.6103
0.12,-125.1436,41.0125,12.1609
0.12,-143.7419,30.6799,10.5338
0.12,-125.1436,41.0125,12.1609
0.12,-102.9860,41.6234,21.6103
0.12,-71.3145,38.9452,35.5733

0.2,-90.0,24.3591,15.5326
0.64,-90.0,24.3591,15.5326

1.0,-60.0,40.0,40.0
2.0,-31.200001,60.9299,36.4499
2.7,-31.200001,60.9299,36.4499
1.0,-15.0,40.0,25.0
1.0,0.0000,23.8942,15.2651

0.5,0.0000,23.8942,15.2651
0.5,0.0000,23.9631,15.2637
1.0,0.0000,23.5945,15.2811
2.0,-9.8473,7.6673,32.2797
1.0,-9.8473,7.6673,32.2797
1.0,0.0000,23.5945,15.2811
0.5,0.0000,23.9631,15.2637
0.5,0.0000,23.8942,15.2651
0.5,-2.0202,35.7222,12.7098
0.3,0.0,0.0,0.0
0.4,-31.200001,60.9299,36.4499
0.1,-31.200001,60.9299,36.4499
1.7,-31.200001,60.9299,36.4499

2.0,0,0,0
0.5,0,0,0

8.0,0.0,45.0,30.0

1.6,-19.0,50.0,27.5
0.5,-21.6343,64.3562,26.1349

1.9,-21.6343,64.3562,26.1349

0.5,-19.0,50.0,27.5

1.6,0.0,45.0,30.0

0.38,0.04,29.6,2.37
0.38,0.04,29.6,2.37

0.28,-27.37,53.97,14.55
0.28,-27.37,53.97,14.55

0.28,0.04,29.6,2.37
0.28,0.04,29.6,2.37

0.28,-27.37,53.97,14.55
0.28,-27.37,53.97,14.55

0.33,0.04,29.6,2.37
0.33,0.04,29.6,2.37

1.7,0.0,45.0,30.0

1.5,-19.0,50.0,27.5
3.5,-19.0,50.0,27.5

2.0,-19.0,50.0,27.5

1.5,0.0,45.0,30.0
1.5,0.0,45.0,30.0

