duration,joint_1,joint_2
1.0,0.0,0.0
1.0,0.0,0.0

1.0,0.0,0.0
2.0,0.0,0.0

0.75,5.0,0.0
0.25,5.0,0.0
0.25,-5.0,0.0
0.25,5.0,0.0
0.25,-5.0,0.0
0.25,5.0,0.0
0.5,-5.0,0.0
0.5,5.0,0.0
1.5,5.0,0.0

1.8,5.0,0.0

4.0,5.0,0.0
0.25,0.0,0.0
0.25,5.0,0.0
0.25,0.0,0.0
0.25,5.0,0.0
2.0,5.0,0.0
 
2.0,10.0,10.0
2.0,10.0,-10.0
2.0,10.0,0.0
0.7,10.0,0.0


1.5,15.0,15.0
0.5,15.0,15.0
1.0,13.0,11.0
2.8,13.0,11.0

2.0,0.0,0.0
1.0,10.0,0.0
11.2,10.0,0.0

1.0,20.7,15.7
1.7,20.00,70.00
3.0,20.00,70.00
2.0,0.0,0.0

2.0,0.0,0.0
2.5,20.0,0.0
5.5,0.0,0.0
 
2.0,15,20
2.5,9,-33.58

1.0,10.54,-20.5
1.5,10.54,-20.5

1.3,5,30.0
0.7,5,30.0

1.5,0,0
 
1.0,5,0
2.5,5,0

1.6,0.0,0.0

0.76,23.75,10.0

0.56,23.75,-10.0
0.56,23.75,10.0

0.56,23.75,-10.0
0.66,23.75,10.0

1.7,0.0,0.0

1.5,0.0,0.0
3.5,0.0,0.0

2.0,0.0,0.0

1.5,30.0,0.0
0.5,30.0,0.0
1.0,0.0,0.0
